,0
425,6
426,11
427,1
428,13
429,1
430,2
431,15
432,4
433,11
434,10
435,1
436,5
437,4
438,10
439,15
440,5
441,11
442,8
443,11
444,14
445,6
446,13
447,1
448,1
449,12
450,7
451,14
452,14
453,3
454,15
455,5
456,2
457,12
458,1
459,1
460,10
461,15
462,8
463,0
464,9
465,10
466,15
467,6
468,3
469,15
470,7
471,7
472,10
473,12
474,3
475,9
476,0
477,15
478,10
479,8
480,13
481,3
482,11
483,13
484,0
485,15
486,8
487,10
488,4
489,0
490,2
491,12
492,0
493,15
494,10
495,8
496,1
497,9
498,1
499,8
500,8
501,11
502,9
503,3
504,13
505,5
506,0
507,11
508,3
509,7
510,10
511,9
512,8
513,10
514,1
515,12
516,14
517,1
518,9
519,5
520,7
521,2
522,9
523,6
524,13
525,8
526,2
527,8
528,9
529,11
530,10
531,12
532,2
533,11
534,15
535,8
536,6
537,11
538,3
539,14
540,4
541,2
542,2
543,1
544,13
545,9
546,2
547,15
548,4
549,0
550,9
551,6
552,6
553,8
554,13
555,3
556,2
557,8
558,3
559,7
560,7
561,11
562,5
563,12
564,1
565,15
566,8
567,15
568,6
569,8
570,12
571,6
572,5
573,6
574,5
575,6
576,0
577,4
578,7
579,0
580,9
581,5
582,1
583,0
584,7
585,14
586,0
587,12
588,5
589,14
590,5
591,15
592,1
593,8
594,2
595,14
596,12
597,13
598,8
599,6
600,12
601,3
602,7
603,5
604,4
605,4
606,8
607,2
608,14
609,2
610,4
611,12
612,5
613,4
614,7
615,5
616,10
617,8
618,0
619,11
620,10
621,2
622,8
623,13
624,4
625,11
626,10
627,7
628,15
629,4
630,9
631,15
632,5
633,0
634,15
635,15
636,0
637,12
638,3
639,5
640,9
641,15
642,7
643,3
644,8
645,5
646,8
647,4
648,2
649,15
650,5
651,1
652,9
653,3
654,15
655,10
656,14
657,2
658,10
659,4
660,10
661,15
662,6
663,11
664,6
665,11
666,8
667,2
668,10
669,9
670,1
671,3
672,6
673,6
674,13
675,1
676,10
677,7
678,8
679,3
680,6
681,5
682,5
683,4
684,3
685,13
686,9
687,11
688,12
689,15
690,8
691,12
692,2
693,6
694,0
695,5
696,6
697,7
698,14
699,14
700,14
701,3
702,6
703,8
704,1
705,7
706,6
707,2
708,4
709,8
710,2
711,14
712,10
713,0
714,12
715,8
716,13
717,7
718,10
719,3
720,13
721,10
722,1
723,1
724,7
725,11
726,0
727,0
728,12
729,2
730,0
731,2
732,13
733,4
734,0
735,14
736,10
737,4
738,2
739,13
740,0
741,4
742,1
743,4
744,2
745,1
746,7
747,8
748,2
749,11
750,1
751,10
752,11
753,1
754,4
755,6
756,7
757,14
758,7
759,14
760,6
761,11
762,5
763,13
764,10
765,2
766,10
767,13
768,8
769,12
770,8
771,7
772,4
773,1
774,11
775,7
776,15
777,13
778,14
779,15
780,13
781,7
782,8
783,9
784,8
785,8
786,6
787,15
788,9
789,12
790,3
791,14
792,7
793,2
